Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.70, 2018)",SIR_2015,Months,Notes
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teaching,2,5.05,84250,0.40,0.07,1.31,Same,Yes,0.45,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Care Hospital,Community (125-250 Beds),1,1.89,54964,0.53,0.03,2.61,Same,Yes,0.50,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913,San Leandro Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),0,0.55,11584,0.00,0.00,6.71,Same,Yes,2.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Alameda,Acute Care Hospital,Community (125-250 Beds),2,1.22,22674,1.65,0.28,5.44,Same,No,0.65,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Community (125-250 Beds),2,1.21,29180,1.65,0.28,5.45,Same,No,,12,† See data dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,UCSF Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,0,1.47,46028,0.00,0.00,2.04,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Alameda,Acute Care Hospital,Community (>250 Beds),1,2.35,57042,0.43,0.02,2.10,Same,Yes,0.74,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-term Acute Care Hospital,LTAC,3,4.59,27806,0.65,0.17,1.78,Same,Yes,0.74,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.34,17667,0.00,0.00,10.98,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000184,Fairmont Hospital,Alameda,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.14,7543,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Amador,Acute Care Hospital,Community (<125 Beds),0,0.24,10500,0.00,0.00,15.22,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000005,Adventist Health Feather River,Butte,Acute Care Hospital,Community (<125 Beds),0,0.61,15445,0.00,0.00,6.03,Same,Yes,,10,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,"Enloe Medical Center, Esplanade",Butte,Acute Care Hospital,Community (>250 Beds),1,3.51,81152,0.29,0.01,1.40,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Butte,Acute Care Hospital,Community (125-250 Beds),0,1.87,46470,0.00,0.00,1.60,Same,Yes,1.15,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0,0.02,840,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.13,6778,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0,0.06,3099,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,2,2.55,41547,0.78,0.13,2.59,Same,No,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,"John Muir Medical Center, Concord Campus",Contra Costa,Acute Care Hospital,Major Teaching,3,3.24,54179,0.93,0.24,2.52,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Acute Care Hospital,Major Teaching,2,6.39,94900,0.31,0.05,1.04,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203,"Kaiser Foundation Hospital, Antioch",Contra Costa,Acute Care Hospital,Community (125-250 Beds),0,1.05,31354,0.00,0.00,2.86,Same,Yes,1.09,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Contra Costa,Acute Care Hospital,Major Teaching,0,0.64,14160,0.00,0.00,5.75,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,Acute Care Hospital,Community (125-250 Beds),1,2.93,60242,0.34,0.02,1.68,Same,Yes,0.32,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,Community (<125 Beds),1,0.52,18579,1.93,0.05,10.75,Same,No,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,Community (125-250 Beds),1,1.01,31139,0.99,0.05,4.90,Same,No,0.65,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.15,7897,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Acute Care Hospital,Community (<125 Beds),0,0.32,7986,0.00,0.00,11.56,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,2313,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,El Dorado,Acute Care Hospital,Community (<125 Beds),0,0.26,7503,0.00,0.00,14.20,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,El Dorado,Acute Care Hospital,Community (<125 Beds),2,0.73,21938,2.75,0.33,9.92,Same,No,2.12,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.15,6795,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.12,6169,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Fresno,Acute Care Hospital,Community (125-250 Beds),0,1.94,69250,0.00,0.00,1.54,Same,Yes,0.43,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000096,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.00,261,,,,,,,5,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,8,14.84,190252,0.54,0.25,1.02,Same,Yes,1.36,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.45,11788,0.00,0.00,8.15,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.03,2605,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000949,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hospital,Community (125-250 Beds),0,1.94,35723,0.00,0.00,1.55,Same,Yes,2.83,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000126,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Community (>250 Beds),8,8.78,111613,0.91,0.42,1.73,Same,No,1.47,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.18,9666,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.36,18912,0.00,0.00,10.26,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0,0.10,4784,,,,,,,11,"Incomplete Reporter, interpret with caution"
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021,Mad River Community Hospital,Humboldt,Acute Care Hospital,Community (<125 Beds),0,0.21,9167,0.00,0.00,17.90,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067,"St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Community (125-250 Beds),0,1.85,33360,0.00,0.00,1.62,Same,Yes,3.72,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.02,1171,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045,Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.11,5515,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.05,2546,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000040,El Centro Regional Medical Center,Imperial,Acute Care Hospital,Community (<125 Beds),0,1.08,26701,0.00,0.00,2.76,Same,Yes,1.08,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000146,Pioneers Memorial Healthcare District,Imperial,Acute Care Hospital,Community (<125 Beds),0,0.74,22280,0.00,0.00,5.02,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0,0.09,4298,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,,,,,,,,,,0,"Incomplete Reporter, interpret with caution"
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411,Adventist Health Bakersfield,Kern,Acute Care Hospital,Community (>250 Beds),2,3.45,74286,0.58,0.10,1.91,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330,Bakersfield Heart Hospital,Kern,Acute Care Hospital,Community (<125 Beds),0,0.55,12029,0.00,0.00,6.72,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,Community (>250 Beds),6,4.72,69821,1.27,0.52,2.64,Same,No,0.63,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336,Delano Regional Medical Center,Kern,Acute Care Hospital,Community (<125 Beds),0,0.37,9482,0.00,0.00,10.01,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,Community (<125 Beds),0,0.13,5040,,,,,,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342,Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,4,2.68,42030,1.49,0.47,3.60,Same,No,0.99,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404,Mercy Hospital,Kern,Acute Care Hospital,Community (<125 Beds),0,0.89,17898,0.00,0.00,4.16,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701,Mercy Southwest Hospital,Kern,Acute Care Hospital,Community (<125 Beds),0,1.02,24549,0.00,0.00,2.93,Same,Yes,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0,0.01,335,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,0,0.05,2448,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,0,0.15,6997,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555,Healthsouth Bakersfield Rehabilitation Hospital,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.42,21911,0.00,0.00,8.85,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960,Adventist Health Hanford,Kings,Acute Care Hospital,Community (125-250 Beds),0,1.99,43542,0.00,0.00,1.50,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044,Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,0,0.12,5823,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,0,0.14,6841,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0,0.09,4214,,,,,,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,Adventist Health Glendale,Los Angeles,Acute Care Hospital,Community (>250 Beds),5,4.86,78729,1.03,0.38,2.28,Same,No,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,Major Teaching,2,5.06,85410,0.40,0.07,1.31,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,0.84,20635,0.00,0.00,4.41,Same,Yes,1.21,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008,Antelope Valley Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),5,4.12,89445,1.21,0.45,2.69,Same,No,0.95,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012,Beverly Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,1.58,38945,1.27,0.21,4.20,Same,No,2.54,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002,"California Hospital Medical Center, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,2,3.89,74952,0.52,0.09,1.70,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.10,4485,,,,,,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,0.47,15010,0.00,0.00,7.80,Same,Yes,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004,Cedars-Sinai Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,13,15.50,276262,0.84,0.47,1.40,Same,No,0.93,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),7,2.63,62801,2.67,1.17,5.27,Worse,No,0.70,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034,Children's Hospital Los Angeles,Los Angeles,Acute Care Hospital,Pediatric,0,4.87,115664,0.00,0.00,0.62,Better,Yes,0.49,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036,City of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),9,8.45,75335,1.07,0.52,1.96,Same,No,0.82,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038,Coast Plaza Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.47,10860,0.00,0.00,7.81,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114,College Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,1,2.00,28593,0.50,0.03,2.46,Same,Yes,0.57,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000082,Community Hospital Long Beach,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.34,5666,0.00,0.00,10.90,Same,Yes,1.36,5,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040,Community Hospital of Huntington Park,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.25,13867,0.00,0.00,15.01,Same,Yes,3.67,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053,East Los Angeles Doctors Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,0.57,12536,0.00,0.00,6.48,Same,Yes,2.28,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),4,0.88,23963,4.52,1.23,11.58,Worse,No,,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070,Emanate Health Inter-Community Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),1,1.73,33674,0.58,0.03,2.85,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,Emanate Health Queen of the Valley Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),1,3.08,58302,0.33,0.02,1.60,Same,Yes,,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,Encino Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),1,0.61,12369,1.63,0.04,9.10,Same,No,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,3.66,52255,0.55,0.09,1.81,Same,Yes,1.86,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),0,2.03,44550,0.00,0.00,1.48,Same,Yes,0.38,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000060,Glendora Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.71,15533,0.00,0.00,5.19,Same,Yes,4.14,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,Acute Care Hospital,Community (>250 Beds),5,4.50,69215,1.11,0.41,2.46,Same,No,2.51,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062,Greater El Monte Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,0.68,16107,0.00,0.00,5.40,Same,Yes,0.00,12,¥ See Data Dictionary
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063,Henry Mayo Newhall Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),1,2.82,52068,0.35,0.02,1.75,Same,Yes,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),4,2.73,57840,1.46,0.47,3.53,Same,No,0.62,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026,Huntington Memorial Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),3,5.76,117610,0.52,0.13,1.42,Same,Yes,0.51,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,Acute Care Hospital,Major Teaching,2,2.15,49863,0.93,0.16,3.07,Same,No,0.00,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074,"Kaiser Foundation Hospital, Downey",Los Angeles,Acute Care Hospital,Community (>250 Beds),0,3.46,88875,0.00,0.00,0.87,Better,Yes,0.72,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,4,6.89,126109,0.58,0.18,1.40,Same,Yes,0.91,12,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000050,"Kaiser Foundation Hospital, Panorama City",Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,2.13,42699,0.00,0.00,1.40,Same,Yes,0.62,12,
