"FACID"|"FACNAME"|"FAC_TYPE_CODE"|"FAC_FDR"|"SERVICE_TYPE_CODE"|"SERVICE_TYPE_NAME"|"SERVICE_OTHER_NAME"|"IS_OFFSITE_SERVICE"|"OFFSITE_NAME"|"OFFSITE_ADDRESS1"|"OFFSITE_CITY"|"OFFSITE_STATE"|"OFFSITE_ZIP"|"COUNTY_NAME"|"START_DATE"|"LONGITUDE"|"LATITUDE"|"LOCATION"
"010000140"|"KINDRED AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000140"|"KINDRED AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000140"|"KINDRED AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000140"|"KINDRED AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000140"|"KINDRED AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000148"|"SUTTER VISITING NURSE ASSOCIATION AND HOSPICE"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"LAKE"|02/01/2018|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"050"|"DIET COUNSELING/NUTRITION"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000149"|"ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY"|"HHA"|"HOME HEALTH AGENCY"|"045"|"NURSING CARE SERVICES"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000150"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"LAKE"|02/24/2005|||"                          ."
"010000150"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"LAKE"|02/24/2005|||"                          ."
"010000150"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"LAKE"|02/24/2005|||"                          ."
"010000152"|"MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000152"|"MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000152"|"MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000152"|"MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000152"|"MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"050"|"DIET COUNSELING/NUTRITION"||"0"||||||"SOLANO"|03/03/2008|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"057"|"HOSPICE"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000156"|"NORTHBAY HEALTH AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"045"|"NURSING CARE SERVICES"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"203"|"*MEDICAL SOCIAL SERVICES"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"200"|"*OCCUPATIONAL THERAPY"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"201"|"*PHYSICAL THERAPY"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"202"|"*HOME HEALTH AIDE SVS"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"205"|"*SPEECH THERAPY"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"050"|"DIET COUNSELING/NUTRITION"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000158"|"ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"204"|"*MED. SUPPLIES/APPLIANCES"||"0"||||||"HUMBOLDT"|02/24/2005|||"                          ."
"010000169"|"MENDOCINO COAST HOME HEALTH"|"HHA"|"HOME HEALTH AGENCY"|"206"|"*NURSING CARE SERVICES"||"0"||||||"MENDOCINO"|10/15/2008|||"                          ."
"010000169"|"MENDOCINO COAST HOME HEALTH"|"HHA"|"HOME HEALTH AGENCY"|"202"|"*HOME HEALTH AIDE SVS"||"0"||||||"MENDOCINO"|10/16/2008|||"                          ."
"010000169"|"MENDOCINO COAST HOME HEALTH"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"MENDOCINO"|10/16/2008|||"                          ."
"010000169"|"MENDOCINO COAST HOME HEALTH"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"MENDOCINO"|10/16/2008|||"                          ."
"010000169"|"MENDOCINO COAST HOME HEALTH"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"MENDOCINO"|10/16/2008|||"                          ."
"010000169"|"MENDOCINO COAST HOME HEALTH"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"MENDOCINO"|10/16/2008|||"                          ."
"010000208"|"SPRING LAKE VILLAGE"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"||"0"||||||"SONOMA"|03/29/2016|||"                          ."
"010000208"|"SPRING LAKE VILLAGE"|"SNF"|"SKILLED NURSING FACILITY"|"054"|"SPEECH THERAPY"||"0"||||||"SONOMA"|03/29/2016|||"                          ."
"010000208"|"SPRING LAKE VILLAGE"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000208"|"SPRING LAKE VILLAGE"|"SNF"|"SKILLED NURSING FACILITY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|03/29/2016|||"                          ."
"010000465"|"HEALING AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000465"|"HEALING AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000465"|"HEALING AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000465"|"HEALING AT HOME"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000557"|"YOUR HOME NURSING SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"NAPA"|02/24/2005|||"                          ."
"010000587"|"HOME HEALTH CARE, INC."|"HHA"|"HOME HEALTH AGENCY"|"045"|"NURSING CARE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000587"|"HOME HEALTH CARE, INC."|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000652"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000652"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000652"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000652"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000652"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000654"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"MENDOCINO"|02/24/2005|||"                          ."
"010000654"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"MENDOCINO"|02/24/2005|||"                          ."
"010000654"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"MENDOCINO"|02/24/2005|||"                          ."
"010000654"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"MENDOCINO"|02/24/2005|||"                          ."
"010000654"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"MENDOCINO"|02/24/2005|||"                          ."
"010000659"|"SUTTER COAST HOME CARE"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000659"|"SUTTER COAST HOME CARE"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000659"|"SUTTER COAST HOME CARE"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000659"|"SUTTER COAST HOME CARE"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000659"|"SUTTER COAST HOME CARE"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"202"|"*HOME HEALTH AIDE SVS"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"205"|"*SPEECH THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"050"|"DIET COUNSELING/NUTRITION"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"206"|"*NURSING CARE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"201"|"*PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"203"|"*MEDICAL SOCIAL SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000684"|"ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY"|"HHA"|"HOME HEALTH AGENCY"|"200"|"*OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000885"|"PACIFIC MEDICAL RESOURCES, INC."|"HHA"|"HOME HEALTH AGENCY"|"202"|"*HOME HEALTH AIDE SVS"|"NURSING CARE SERVICES"|"0"||||||"MENDOCINO"|05/19/2001|||"                          ."
"010000923"|"AT HOME NURSING SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000923"|"AT HOME NURSING SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000923"|"AT HOME NURSING SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"045"|"NURSING CARE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000923"|"AT HOME NURSING SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000940"|"NOVATO HEALTHCARE CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010000940"|"NOVATO HEALTHCARE CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010000940"|"NOVATO HEALTHCARE CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"025"|"SPEECH PATHOLOGY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010000940"|"NOVATO HEALTHCARE CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010000956"|"SUTTER VISITING NURSES ASSOCIATION"|"HHA"|"HOME HEALTH AGENCY"|"201"|"*PHYSICAL THERAPY"||"0"||||||"MARIN"|11/06/2008|||"                          ."
"010000956"|"SUTTER VISITING NURSES ASSOCIATION"|"HHA"|"HOME HEALTH AGENCY"|"205"|"*SPEECH THERAPY"||"0"||||||"MARIN"|11/06/2008|||"                          ."
"010000956"|"SUTTER VISITING NURSES ASSOCIATION"|"HHA"|"HOME HEALTH AGENCY"|"050"|"DIET COUNSELING/NUTRITION"|"REGISTERED DIETITIAN"|"0"||||||"MARIN"|11/06/2008|||"                          ."
"010000956"|"SUTTER VISITING NURSES ASSOCIATION"|"HHA"|"HOME HEALTH AGENCY"|"202"|"*HOME HEALTH AIDE SVS"||"0"||||||"MARIN"|11/06/2008|||"                          ."
"010000956"|"SUTTER VISITING NURSES ASSOCIATION"|"HHA"|"HOME HEALTH AGENCY"|"200"|"*OCCUPATIONAL THERAPY"||"0"||||||"MARIN"|11/06/2008|||"                          ."
"010000956"|"SUTTER VISITING NURSES ASSOCIATION"|"HHA"|"HOME HEALTH AGENCY"|"203"|"*MEDICAL SOCIAL SERVICES"|"MEDICAL SOCIAL WORKER"|"0"||||||"MARIN"|11/06/2008|||"                          ."
"010001037"|"SMITH RANCH SKILLED NURSING & REHABILITATION CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"025"|"SPEECH PATHOLOGY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001037"|"SMITH RANCH SKILLED NURSING & REHABILITATION CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001037"|"SMITH RANCH SKILLED NURSING & REHABILITATION CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001037"|"SMITH RANCH SKILLED NURSING & REHABILITATION CENTER"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001047"|"HEART OF HUMANITY HEALTH SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001047"|"HEART OF HUMANITY HEALTH SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001047"|"HEART OF HUMANITY HEALTH SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001047"|"HEART OF HUMANITY HEALTH SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"050"|"DIET COUNSELING/NUTRITION"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001047"|"HEART OF HUMANITY HEALTH SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001047"|"HEART OF HUMANITY HEALTH SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"MARIN"|02/24/2005|||"                          ."
"010001148"|"SUTTER VISITING NURSE ASSOCIATION & HOSPICE"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010001148"|"SUTTER VISITING NURSE ASSOCIATION & HOSPICE"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010001148"|"SUTTER VISITING NURSE ASSOCIATION & HOSPICE"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010001148"|"SUTTER VISITING NURSE ASSOCIATION & HOSPICE"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
